Sub,ScriptNumber,LineKey,Color,Actor,AnimState,DotAnim,TextType,KorText,EngText,NextLineKey,DeathNote,AfterScript,Exeption
1,45,1,0,Dot,,anim_default,text,난 네게 칼자루를 들려줬어.,I handed you a knife.,2,,,
1,45,2,0,Dot,,anim_default,text,잔인하리만치 퍼렇게 날이\n서 있는 칼의 칼자루를.,A knife with a sharpened blade\nmore than ready for blood.,3,,,
1,45,3,0,Dot,,anim_default,text,너의 휘두르는 몸짓은 낱낱이\n나의 생채기가 되겠지.,Your every move would\nbecome a cut in my body.,4,,,
1,45,4,0,Player,,anim_default,text,칼이라니?,Knife?,5,,,
1,45,5,0,Player,,anim_default,selection,뭉치가 준 칼을 가진 적은 없는걸.|내가 널 다치게 할 리 없잖아.,You’ve never handed me a knife.|There’s no way I’d hurt you.,6|7,,,
1,45,6,0,Dot,,anim_default,text,"그 칼은 보이지 않는데다 이름도\n여러 개지만, 넌 이미 갖고 있어.",The knife can’t be seen and has\nmany names—and you do have it.,8,,,
1,45,7,0,Dot,,anim_default,text,확신할 수 있겠어?,Are you sure?,8,,,
1,45,8,0,Dot,,anim_default,text,인간들은 대개 그 칼을\n애정이라고 부르거든.,Humans usually call\nthat knife affection.,9,,,
1,45,9,0,Player,,anim_default,text,"아, 으음.",Ah. Hm.,10,,,
1,45,10,0,Dot,,anim_default,text,그러니까 뭉치 네 말은… 네가\n내게 준 애정이 칼과 같다는 거야?,So you’re saying… that the affection\nyou gave me is like a knife?,11,,,
1,45,11,0,Dot,,anim_default,text,그래서 널 상처 입힐 거라고?,And that I’ll cut you with it?,12,,,
1,45,12,0,Dot,,anim_default,text,그래.,Yes.,13,,,
1,45,13,0,Player,,anim_default,selection,나도 비슷한 생각을 해 본 적 있어.|왜 그런 생각을 하게 됐어?,I’ve had similar thoughts.|What led you to think this?,14|17,,,
1,45,14,0,Player,,anim_default,text,소중하게 생각하는 대상에게 받는\n상처가 배로 아프다는 걸 느꼈거든.,"I’ve realized wounds caused by those you\nfeel affection for hurts twice, thrice as much.",15,,,
1,45,15,0,Dot,,anim_default,text,응. 어쩌면 회복 불가능할 정도로.,Yes. So much so that it feels\nimpossible to come back from.,20,,,
1,45,16,0,Dot,,anim_default,text,"애정을 갖는다는 건, 그 앞에서만은\n무방비해질 수 있다는 거야.",To have affection for someone is to\nbe defenseless in their presence.,17,,,
1,45,17,0,Dot,,anim_default,text,"내가 가진 방패를 내려 놓고,","It’s a resolve to let down my guard,",18,,,
1,45,18,0,Dot,,anim_default,text,연약한 부분을 뒤집어 보여 줄 수 있다는 각오지.,and expose my delicate underbelly.,19,,,
1,45,19,0,Dot,,anim_default,text,반대로 상대에게 가장 강력한 무기를 쥐어 주는 것과 같아.,It’s also like handing someone\nthe most powerful weapon.,20,,,
1,45,20,0,Dot,,anim_default,text,그래서 난… 나는…,So I… I…,21,,,
1,45,21,0,Player,,anim_default,selection,두려워?|후회해?,Are you afraid?|Do you regret it?,22|23,,,
1,45,22,0,Dot,,anim_default,text,맞아. 두려워.,Yes. I am afraid.,24,,,
1,45,23,0,Dot,,anim_default,text,후회와는 달라. 하지만… 두려워.,It’s not regret. But… I’m afraid.,24,,,
1,45,24,0,Dot,,anim_default,text,문득 두려워졌어.\n애정의 마음을 갖는 일이.,"All of a sudden, I’m afraid.\nTo have affection.",,,,
2,46,25,0,Dot,,anim_default,text,"<nickname>, 두려울 만큼 아름다운\n바다에 뛰어들고 싶었던 적이 있어?","<nickname>, ever thought about running\ninto the terrifyingly beautiful sea?",26,,,
2,46,26,0,Player,,anim_default,text,응. 있어.|아니. 없어.,"Yeah, I have.",27|33,,,
2,46,27,0,Dot,,anim_default,text,파도가 너를 집어 삼킬 걸 알면서도?,Even though you know the\nwaves will swallow you whole?,28,,,
2,46,28,0,Player,,anim_default,text,가끔은 그래.,"Sometimes, yes.",29,,,
2,46,29,0,Dot,,anim_default,text,… 누구나 종종 눈부신 심연\n속에 뛰어들기를 원하지.,… I guess we all want to jump into\nthe dazzling abyss from time to time.,30,,,
2,46,30,0,Dot,,anim_default,text,나를 끈적하게 휘감을 무언가.,Into something that would\nembrace us fiercely.,31,,,
